ms,state,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pitch_dmp,pitch_comp
446860.0,static,700.0,-40.0,-17518.0,-73.0,-25.0,0.0,0.04272,-0.00244,-1.06921,-4.4512,-1.5244,0.0,2.585,-4.07
446880.0,static,806.0,-158.0,-17572.0,-72.0,-25.0,-1.0,0.04919,-0.00964,-1.07251,-4.3902,-1.5244,-0.061,2.585,-4.071
446900.0,static,786.0,-4.0,-17522.0,-72.0,-25.0,1.0,0.04797,-0.00024,-1.06946,-4.3902,-1.5244,0.061,2.582,-4.071
446920.0,static,886.0,-52.0,-17526.0,-72.0,-27.0,0.0,0.05408,-0.00317,-1.0697,-4.3902,-1.6463,0.0,2.582,-4.08
446940.0,static,810.0,-48.0,-17590.0,-73.0,-25.0,1.0,0.04944,-0.00293,-1.07361,-4.4512,-1.5244,0.061,2.581,-4.081
446960.0,static,788.0,-42.0,-17566.0,-71.0,-26.0,1.0,0.0481,-0.00256,-1.07214,-4.3293,-1.5854,0.061,2.584,-4.082
446980.0,static,794.0,-70.0,-17530.0,-71.0,-23.0,1.0,0.04846,-0.00427,-1.06995,-4.3293,-1.4024,0.061,2.583,-4.08
447000.0,static,814.0,-100.0,-17588.0,-72.0,-24.0,0.0,0.04968,-0.0061,-1.07349,-4.3902,-1.4634,0.0,2.584,-4.08
447020.0,static,848.0,-138.0,-17504.0,-71.0,-24.0,1.0,0.05176,-0.00842,-1.06836,-4.3293,-1.4634,0.061,2.584,-4.082
447040.0,static,816.0,-106.0,-17512.0,-71.0,-25.0,1.0,0.0498,-0.00647,-1.06885,-4.3293,-1.5244,0.061,2.585,-4.084
