column,mean,zero_bias,stddev
ax_raw,804.800000,804.800000,47.648715
ay_raw,-75.800000,-75.800000,48.391459
az_raw,-17542.800000,-17542.800000,32.676189
gx_raw,-71.800000,-71.800000,0.788811
gy_raw,-24.900000,-24.900000,1.100505
gz_raw,0.500000,0.500000,0.707107
ax_g,0.049120,0.049120,0.002910
ay_g,-0.004624,-0.004624,0.002954
az_g,-1.070728,-0.070728,0.001995
ax_ms2,0.481710,0.481710,0.028513
ay_ms2,-0.045360,-0.045360,0.028978
az_ms2,-10.500240,-0.693590,0.019556
gx_dps,-4.378040,-4.378040,0.048072
gy_dps,-1.518290,-1.518290,0.067110
gz_dps,0.030500,0.030500,0.043134
pitch_acc,-2.626700,-2.626700,0.155681
pitch_comp,-4.078100,-4.078100,0.005280
pitch_dmp,2.583500,2.583500,0.001434
roll_dmp,179.797400,179.797400,0.000966
yaw_dmp,7.339400,7.339400,0.001174
