ms,state,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pitch_dmp,pitch_comp
681140.0,tilt,856.0,-11278.0,11290.0,-123.0,-25.0,2.0,0.05225,-0.68835,0.68909,-7.5,-1.5244,0.122,3.321,-4.792
681160.0,tilt,950.0,-11326.0,11174.0,-125.0,-26.0,0.0,0.05798,-0.69128,0.68201,-7.622,-1.5854,0.0,3.319,-4.796
681180.0,tilt,982.0,-11354.0,11228.0,-125.0,-25.0,0.0,0.05994,-0.69299,0.6853,-7.622,-1.5244,0.0,3.32,-4.8
681200.0,tilt,922.0,-11536.0,11190.0,-126.0,-26.0,2.0,0.05627,-0.7041,0.68298,-7.6829,-1.5854,0.122,3.324,-4.801
681220.0,tilt,914.0,-11416.0,11298.0,-126.0,-26.0,1.0,0.05579,-0.69678,0.68958,-7.6829,-1.5854,0.061,3.324,-4.801
681240.0,tilt,916.0,-11558.0,11192.0,-126.0,-26.0,1.0,0.05591,-0.70544,0.68311,-7.6829,-1.5854,0.061,3.325,-4.801
681260.0,tilt,1068.0,-11350.0,11086.0,-117.0,-26.0,0.0,0.06519,-0.69275,0.67664,-7.1341,-1.5854,0.0,3.328,-4.813
681280.0,tilt,962.0,-11440.0,10946.0,-111.0,-27.0,-1.0,0.05872,-0.69824,0.66809,-6.7683,-1.6463,-0.061,3.332,-4.819
681300.0,tilt,952.0,-11630.0,11028.0,-105.0,-26.0,2.0,0.05811,-0.70984,0.6731,-6.4024,-1.5854,0.122,3.332,-4.821
681320.0,tilt,920.0,-11638.0,11058.0,-93.0,-25.0,2.0,0.05615,-0.71033,0.67493,-5.6707,-1.5244,0.122,3.333,-4.82
