column,mean,zero_bias,stddev
ax_raw,944.200000,944.200000,55.509359
ay_raw,-11452.600000,-11452.600000,130.029227
az_raw,11149.000000,11149.000000,115.747810
gx_raw,-117.700000,-117.700000,11.343623
gy_raw,-25.800000,-25.800000,0.632456
gz_raw,0.900000,0.900000,1.100505
ax_g,0.057631,0.057631,0.003389
ay_g,-0.699010,-0.699010,0.007938
az_g,0.680483,-0.319517,0.007065
ax_ms2,0.565170,0.565170,0.033225
ay_ms2,-6.854950,-6.854950,0.077813
az_ms2,6.673230,-3.133420,0.069280
gx_dps,-7.176820,-7.176820,0.691697
gy_dps,-1.573190,-1.573190,0.038559
gz_dps,0.054900,0.054900,0.067131
pitch_acc,-3.381200,-3.381200,0.210176
pitch_comp,-4.806400,-4.806400,0.010772
pitch_dmp,3.325800,3.325800,0.005203
roll_dmp,45.532900,45.532900,0.197637
yaw_dmp,5.703200,5.703200,0.006408
